Updated On,State,Sessions, Sites ,First Dose Administered,Second Dose Administered
16-01-2021,India,3455,2957,48276,0
17-01-2021,India,8532,4954,58604,0
18-01-2021,India,13611,6583,99449,0
19-01-2021,India,17855,7951,195525,0
20-01-2021,India,25472,10504,251280,0
21-01-2021,India,32226,12600,365965,0
22-01-2021,India,36988,14115,549381,0
23-01-2021,India,43076,15605,759008,0
24-01-2021,India,49851,18111,835058,0
25-01-2021,India,55151,19682,1277104,0
26-01-2021,India,60821,21467,1293784,0
27-01-2021,India,69495,23737,1726490,0
28-01-2021,India,78523,25610,2295491,0
29-01-2021,India,83664,26219,2814803,0
30-01-2021,India,87822,26643,3067736,0
31-01-2021,India,91593,27011,3127107,0
01-02-2021,India,97432,27751,3350265,0
02-02-2021,India,106461,29522,3527971,0
03-02-2021,India,116568,31167,3825835,0
04-02-2021,India,126714,32505,4314304,0
05-02-2021,India,137110,33947,4765924,0
06-02-2021,India,145121,34814,5111827,0
07-02-2021,India,153231,35778,5168099,0
08-02-2021,India,164116,36740,5615499,0
09-02-2021,India,175556,38131,6002474,0
10-02-2021,India,187224,39339,6462270,0
11-02-2021,India,197650,40332,6958553,0
12-02-2021,India,207633,40799,7423817,0
13-02-2021,India,216559,41308,7687352,20859
14-02-2021,India,223423,41606,7710367,21911
15-02-2021,India,233527,42016,8111162,142489
16-02-2021,India,245131,42859,8337600,239626
17-02-2021,India,256706,43310,8704698,318541
18-02-2021,India,268275,43734,8862491,475776
19-02-2021,India,279055,44167,9523567,717941
20-02-2021,India,288334,44791,9734505,884608
21-02-2021,India,299726,45120,9757217,893795
22-02-2021,India,312382,45490,10069263,1174416
23-02-2021,India,325527,46054,10288293,1309475
24-02-2021,India,339617,46671,10517568,1525390
25-02-2021,India,352882,47068,10846192,1972882
26-02-2021,India,357440,47240,11141375,2419557
27-02-2021,India,357450,47242,11141426,2419557
28-02-2021,India,367595,48032,11141651,2419557
01-03-2021,India,401961,50243,11141651,2419557
02-03-2021,India,448977,51350,11886320,2647634
03-03-2021,India,533253,54700,12553326,2830557
04-03-2021,India,613748,57418,13393538,3142165
05-03-2021,India,714806,59064,14415912,3455761
06-03-2021,India,802800,60930,15438495,3732333
07-03-2021,India,862720,63187,15541529,3747137
08-03-2021,India,923939,64854,16976138,4062362
09-03-2021,India,3632230,22562,14003206,4357037
10-03-2021,India,3712590,22885,14872785,4665762
11-03-2021,India,2074307,13920,15204375,4749612
12-03-2021,India,5428928,34489,16612019,5160140
13-03-2021,India,4500722,27403,17698742,5460862
14-03-2021,India,935045,6063,17837716,5480034
15-03-2021,India,6451678,40180,19766466,5851784
16-03-2021,India,5366679,33886,25709257,6161488
17-03-2021,India,5183313,31807,30011328,6484692
18-03-2021,India,5880856,38208,31952935,6817469
19-03-2021,India,6385874,41625,34228371,7080848
20-03-2021,India,6470646,42178,36568988,7308880
21-03-2021,India,1919521,13892,37303458,7341914
22-03-2021,India,7458801,49877,39612614,7592019
23-03-2021,India,6325666,42614,42148875,7824277
24-03-2021,India,6309312,42607,44250191,7966046
25-03-2021,India,6810937,46395,46454700,8134520
26-03-2021,India,7290723,49904,48749313,8271851
27-03-2021,India,6515557,44549,50865316,8370120
28-03-2021,India,2724106,18876,51179587,8377533
29-03-2021,India,3614098,24773,51774289,8408775
30-03-2021,India,6935955,45244,53429356,8560886
31-03-2021,India,7622285,48959,55188803,8746787
01-04-2021,India,8582019,56390,57443466,8918256
02-04-2021,India,7771995,50714,60936753,9154083
03-04-2021,India,8028771,53749,63743700,9368419
04-04-2021,India,6779834,43542,66838504,9567193
05-04-2021,India,9947093,64960,69620234,9819655
06-04-2021,India,9341151,61096,72035640,10029697
07-04-2021,India,8870978,58826,76671812,10428815
08-04-2021,India,9913258,65506,80998099,10883431
09-04-2021,India,9969009,65714,84296847,11286572
10-04-2021,India,8710763,58594,87411872,11657482
11-04-2021,India,9729980,63648,90111528,11888873
12-04-2021,India,10664088,71554,93559587,12410952
13-04-2021,India,10046908,67834,95823614,12774675
14-04-2021,India,10786962,69832,98703696,13209592
15-04-2021,India,9771019,66284,100853671,13744355
16-04-2021,India,9780485,66381,102927296,14378048
17-04-2021,India,8521217,60057,104950409,15020960
18-04-2021,India,8395934,58212,105896430,15310668
19-04-2021,India,10632658,73506,108178574,16278588
20-04-2021,India,10163007,71051,110165234,17263653
21-04-2021,India,9537781,67123,111673361,17972744
22-04-2021,India,10459336,73933,113584269,19170339
23-04-2021,India,9772224,68575,115461202,20197122
24-04-2021,India,8300170,59612,117105343,21080613
25-04-2021,India,5844983,41927,117795008,21390165
26-04-2021,India,9725885,68905,119886252,22638695
27-04-2021,India,9192384,65370,121263287,23615946
28-04-2021,India,8123540,57439,122538179,24515213
29-04-2021,India,8593203,61628,123811908,25456864
30-04-2021,India,8996730,64042,125376952,26621155
01-05-2021,India,8022399,56966,126328970,27297355
02-05-2021,India,5396932,38359,126704151,27507360
03-05-2021,India,8814219,61196,127696675,28385461
04-05-2021,India,8034995,55739,128627919,29122833
05-05-2021,India,8424665,58108,129730641,30200597
06-05-2021,India,8708024,60671,131058890,31544713
07-05-2021,India,8244108,57623,132294827,32895173
08-05-2021,India,8362691,58214,133366482,34127375
09-05-2021,India,5437733,39614,133854676,34450192
10-05-2021,India,8215415,58011,135192013,35906905
11-05-2021,India,7848368,56288,136557345,37305298
12-05-2021,India,7572978,54605,137805245,38240332
13-05-2021,India,7238072,52103,139087590,39274256
14-05-2021,India,5861579,42398,139861462,39784951
15-05-2021,India,7183448,51190,141132112,40412424
16-05-2021,India,4278089,27979,141764335,40486671
17-05-2021,India,8089861,48246,143090218,40726986
18-05-2021,India,7311249,42755,144270200,40921402
19-05-2021,India,6683984,40289,145333606,41076994
20-05-2021,India,7547217,44986,146624652,41262233
21-05-2021,India,7425242,42679,147893976,41450129
22-05-2021,India,8649098,49046,149302864,41633995
23-05-2021,India,5338956,30180,150180408,41697052
24-05-2021,India,9601152,51161,152439044,41874876
25-05-2021,India,9133572,46265,154384464,42079031
26-05-2021,India,9309344,44319,156189641,42235974
27-05-2021,India,10482875,44427,159006359,42431761
28-05-2021,India,11340655,44877,161951713,42665859
29-05-2021,India,11069278,43049,164804095,42992369
30-05-2021,India,5941306,22980,165823004,43084719
31-05-2021,India,10623839,42783,168393525,43384966
01-06-2021,India,9930062,38044,170640412,43674110
02-06-2021,India,10324274,38535,172945950,43912247
03-06-2021,India,11534619,41239,175677634,44153937
04-06-2021,India,13131165,46141,179205337,44436944
05-06-2021,India,12775190,45548,182451348,44711155
06-06-2021,India,7228531,24346,183824958,44799620
07-06-2021,India,12625429,45459,186933771,45129717
08-06-2021,India,11506400,41121,189503126,45449492
09-06-2021,India,11932713,42274,192669299,45770830
10-06-2021,India,12035310,42414,195747476,46099387
11-06-2021,India,12044221,42704,198977594,46434361
12-06-2021,India,12844959,42982,202207183,46825911
13-06-2021,India,7549518,22768,203705131,46951231
14-06-2021,India,14048206,46924,207274441,47378599
15-06-2021,India,11834657,41484,209816439,47789089
16-06-2021,India,14252163,44447,212945352,48173116
17-06-2021,India,13293750,42886,215944608,48592637
18-06-2021,India,12991192,42760,218956863,48994708
19-06-2021,India,14175307,43724,222316897,49516745
20-06-2021,India,12736409,24766,225211708,49806985
21-06-2021,India,35010311,68061,233288807,50602957
22-06-2021,India,23436266,54639,238685516,51276230
23-06-2021,India,27105115,59462,244944880,51947641
24-06-2021,India,26458510,56282,250656880,52769970
25-06-2021,India,27953093,55202,256135000,53667519
26-06-2021,India,29924071,55142,261705883,54829892
27-06-2021,India,14362704,23886,263289938,55183554
28-06-2021,India,25874790,48855,267485789,56350540
29-06-2021,India,20606418,39263,270392224,57293198
30-06-2021,India,18568866,33381,272487181,58066442
01-07-2021,India,20310004,40094,275842378,59070842
02-07-2021,India,20812325,40091,279132514,60314554
03-07-2021,India,26140934,48778,283527017,62527005
04-07-2021,India,12321517,19122,284750483,63015764
05-07-2021,India,20486897,42139,287588808,64823481
06-07-2021,India,17691841,35607,290132865,66060084
07-07-2021,India,17449073,33655,292326546,67401699
08-07-2021,India,18408867,37073,295113298,68752879
09-07-2021,India,15830443,31342,297184419,69894633
10-07-2021,India,15975055,32091,299620148,71301249
11-07-2021,India,8835173,14717,300474970,71774807
12-07-2021,India,17301046,35603,303057816,73292746
13-07-2021,India,15468942,33126,305477371,74735268
14-07-2021,India,14758731,31235,310042014,76246127
15-07-2021,India,16084911,35258,312624872,77662058
16-07-2021,India,16935747,37143,315177274,79464430
17-07-2021,India,18405270,39857,318403675,81469973
18-07-2021,India,9120348,16236,319469878,81972091
19-07-2021,India,19017782,42026,322905680,83884453
20-07-2021,India,14830467,33503,325242678,85188148
21-07-2021,India,11772741,23842,326792911,86024123
22-07-2021,India,18416197,41363,330465663,87901175
23-07-2021,India,16337977,37521,333352959,89492339
24-07-2021,India,18476847,40423,336917806,91192124
25-07-2021,India,10784124,19973,338346937,91823594
26-07-2021,India,22339305,46007,343039824,93821656
27-07-2021,India,16549712,38079,345867755,95260919
28-07-2021,India,0,0,349104325,96592255
29-07-2021,India,20051908,43876,352679959,98317933
30-07-2021,India,20918871,45339,356348903,100122347
31-07-2021,India,22141942,47334,361264651,101848788
01-08-2021,India,9847327,20066,365110984,102658881
02-08-2021,India,22612516,47979,369654820,104322336
03-08-2021,India,23639645,47616,375040194,105603734
04-08-2021,India,17215840,35467,378269912,106641361
05-08-2021,India,22435536,48656,382658786,108102152
06-08-2021,India,20015484,41826,390344882,109742188
07-08-2021,India,22675183,46089,394599261,111187777
08-08-2021,India,10353120,18971,395961470,111766433
09-08-2021,India,21978176,46163,400150406,113077994
10-08-2021,India,,,,
11-08-2021,India,,,,
12-08-2021,India,,,,
13-08-2021,India,,,,
14-08-2021,India,,,,
15-08-2021,India,,,,
16-01-2021,Andaman and Nicobar Islands,2,2,23,0
17-01-2021,Andaman and Nicobar Islands,2,2,23,0
18-01-2021,Andaman and Nicobar Islands,9,2,42,0
19-01-2021,Andaman and Nicobar Islands,12,2,89,0
20-01-2021,Andaman and Nicobar Islands,16,3,124,0
21-01-2021,Andaman and Nicobar Islands,22,6,239,0
22-01-2021,Andaman and Nicobar Islands,29,6,552,0
23-01-2021,Andaman and Nicobar Islands,32,9,920,0
24-01-2021,Andaman and Nicobar Islands,38,9,966,0
25-01-2021,Andaman and Nicobar Islands,43,10,1519,0
26-01-2021,Andaman and Nicobar Islands,43,10,1519,0
27-01-2021,Andaman and Nicobar Islands,43,10,1519,0
28-01-2021,Andaman and Nicobar Islands,48,10,1956,0
29-01-2021,Andaman and Nicobar Islands,50,10,2024,0
30-01-2021,Andaman and Nicobar Islands,51,10,2060,0
31-01-2021,Andaman and Nicobar Islands,51,10,2060,0
01-02-2021,Andaman and Nicobar Islands,51,10,2060,0
02-02-2021,Andaman and Nicobar Islands,51,10,2060,0
03-02-2021,Andaman and Nicobar Islands,56,12,2107,0
04-02-2021,Andaman and Nicobar Islands,57,13,2290,0
05-02-2021,Andaman and Nicobar Islands,63,13,2514,0
06-02-2021,Andaman and Nicobar Islands,65,13,2780,0
07-02-2021,Andaman and Nicobar Islands,65,13,2780,0
08-02-2021,Andaman and Nicobar Islands,65,13,2780,0
09-02-2021,Andaman and Nicobar Islands,65,13,2780,0
10-02-2021,Andaman and Nicobar Islands,65,13,2780,0
11-02-2021,Andaman and Nicobar Islands,65,13,2780,0
12-02-2021,Andaman and Nicobar Islands,74,14,2852,0
13-02-2021,Andaman and Nicobar Islands,74,14,3040,0
14-02-2021,Andaman and Nicobar Islands,78,14,3040,0
15-02-2021,Andaman and Nicobar Islands,78,14,3363,104
16-02-2021,Andaman and Nicobar Islands,81,14,3363,104
17-02-2021,Andaman and Nicobar Islands,86,14,3560,104
18-02-2021,Andaman and Nicobar Islands,95,14,3505,341
19-02-2021,Andaman and Nicobar Islands,101,14,4246,652
20-02-2021,Andaman and Nicobar Islands,102,14,4707,946
21-02-2021,Andaman and Nicobar Islands,102,14,4707,946
22-02-2021,Andaman and Nicobar Islands,118,14,5358,1498
23-02-2021,Andaman and Nicobar Islands,122,14,5436,1622
24-02-2021,Andaman and Nicobar Islands,128,14,5518,1722
25-02-2021,Andaman and Nicobar Islands,134,15,5867,1896
26-02-2021,Andaman and Nicobar Islands,135,15,6029,1960
27-02-2021,Andaman and Nicobar Islands,135,15,6029,1960
28-02-2021,Andaman and Nicobar Islands,135,15,6029,1960
01-03-2021,Andaman and Nicobar Islands,149,15,6029,1960
02-03-2021,Andaman and Nicobar Islands,161,15,6638,2086
03-03-2021,Andaman and Nicobar Islands,172,16,6749,2088
04-03-2021,Andaman and Nicobar Islands,182,16,7266,2095
05-03-2021,Andaman and Nicobar Islands,198,16,7799,2098
06-03-2021,Andaman and Nicobar Islands,224,16,8288,2210
07-03-2021,Andaman and Nicobar Islands,227,16,8848,2253
08-03-2021,Andaman and Nicobar Islands,261,16,9629,2375
09-03-2021,Andaman and Nicobar Islands,500,5,7542,2390
10-03-2021,Andaman and Nicobar Islands,300,3,7735,2426
11-03-2021,Andaman and Nicobar Islands,700,7,8218,2486
12-03-2021,Andaman and Nicobar Islands,700,7,8735,2586
13-03-2021,Andaman and Nicobar Islands,200,2,8899,2739
14-03-2021,Andaman and Nicobar Islands,100,1,8926,2767
15-03-2021,Andaman and Nicobar Islands,500,5,9202,2843
16-03-2021,Andaman and Nicobar Islands,700,7,11950,2876
17-03-2021,Andaman and Nicobar Islands,0,0,12509,2980
18-03-2021,Andaman and Nicobar Islands,800,8,12948,3183
19-03-2021,Andaman and Nicobar Islands,1000,10,13293,3319
20-03-2021,Andaman and Nicobar Islands,1100,11,13852,3599
21-03-2021,Andaman and Nicobar Islands,500,5,13868,3610
22-03-2021,Andaman and Nicobar Islands,2000,20,14327,3758
23-03-2021,Andaman and Nicobar Islands,2300,23,15017,4104
24-03-2021,Andaman and Nicobar Islands,1400,14,15247,4446
25-03-2021,Andaman and Nicobar Islands,2100,21,15652,4666
26-03-2021,Andaman and Nicobar Islands,1700,17,15933,4856
27-03-2021,Andaman and Nicobar Islands,1700,17,16292,5064
28-03-2021,Andaman and Nicobar Islands,1950,14,16293,5065
29-03-2021,Andaman and Nicobar Islands,1600,15,16292,5065
30-03-2021,Andaman and Nicobar Islands,1600,16,16701,5139
31-03-2021,Andaman and Nicobar Islands,1300,12,16798,5140
01-04-2021,Andaman and Nicobar Islands,1700,17,17435,5173
02-04-2021,Andaman and Nicobar Islands,1000,10,17559,5179
03-04-2021,Andaman and Nicobar Islands,1200,11,17998,5223
04-04-2021,Andaman and Nicobar Islands,1200,12,18677,5224
05-04-2021,Andaman and Nicobar Islands,1800,18,19499,5275
06-04-2021,Andaman and Nicobar Islands,2300,23,20445,5321
07-04-2021,Andaman and Nicobar Islands,2400,23,22631,5347
